category,date,link,summery,title
health,2016-11-21T06:34:31 GMT,https://www.express.pk/story/659235,ریپیتھا نامی ایک نئی دوا دل کی رگوں میں جمے پلاک کو گھلا کر صاف کرنے میں نہایت مددگار ثابت ہوئی ہے,کولیسٹرول کم کرنے والی دوا دل کی رگیں کھولنے میں بھی اکسیر
health,2016-11-21T04:27:41 GMT,https://www.express.pk/story/659079,شعبۂ صحت کے ماہرین کی ’’ایکسپریس فورم‘‘ میں گفتگو,آرتھرائٹس عام مرض نہیں… بروقت علاج نہ ہو تو نتیجہ معذوری کی شکل میں نکل سکتا ہے
health,2016-11-21T03:59:54 GMT,https://www.express.pk/story/659345,ذہنی وجسمانی نشوونما کے تناظر میں بچے کی عمر کے ابتدائی پانچ برس بے حد اہم ہوتے ہیں۔,بچوں کی بول چال کی اصلاح سے غفلت مناسب نہیں
health,2016-11-21T03:58:46 GMT,https://www.express.pk/story/659348,مچھلی کے خواص ہمارے دل ودماغ کو تقویت پہنچاتے ہیں,مچھلی، خنک موسم کی خاص غذا
health,2016-11-04T04:14:50 GMT,https://www.express.pk/story/644462,انرجی ڈرنک کے بکثرت استعمال سے ہیپاٹائٹس جیسی خطرناک بیماری بھی لاحق ہوسکتی ہے، ماہرین,انرجی ڈرنکس جگرکی بیماریوں کا سبب بن رہی ہیں، تحقیق
health,2016-11-03T04:21:22 GMT,https://www.express.pk/story/643626,باقاعدہ ورزش سے کام کے دباؤ جھیلنے اور اس کے مضر اثرات دور کرنے میں مد ملتی ہے، ماہرین,ورزش کرنے سے کام کا تناؤ کم ہوتا ہے، تحقیق
health,2016-11-02T16:51:26 GMT,https://www.express.pk/story/643375,روزانہ سائیکل چلانے والے لوگوں کا وزن، کولیسٹرول، خون میں گلوکوز اور بلڈ پریشر تک قابو میں رہتے ہیں، تحقیق,سائیکل چلائیں اور مختلف امراض سے نجات پائیں
health,2016-11-02T05:53:24 GMT,https://www.express.pk/story/643158,ایک کروڑ سے زائد افراد پر کئے گئے مطالعے سے معلوم ہوا ہے کہ سوشل میڈیا کا استعمال عمر بڑھاسکتا ہے,فیس بُک استعمال کرنے والے لمبی عمر پاتے ہیں
health,2016-11-01T04:38:33 GMT,https://www.express.pk/story/641932,ماہرین کے مطابق یہ غذائیں دماغی قوت، یادداشت اور موڈ کو بہتر بناسکتی ہیں اور بعض غذائیں دماغ کے لیے مضر بھی ہیں۔,تحقیق سے ثابت شدہ دماغ کو تیزتررکھنے والی بہترین غذائیں
health,2016-10-31T05:03:13 GMT,https://www.express.pk/story/641137,وٹامن سی، فولیٹ اور پوٹاشیئم سے ڈی این اے کے ٹیلومرز کی لمبائی برقرار رہتی ہے اور بڑھاپے کے امراض دور رہتے ہیں,وٹامن سی اور پوٹاشیئم عمر بڑھانے اور امراض کو دور رکھنے میں مددگار
health,2016-10-31T04:03:45 GMT,https://www.express.pk/story/641214,جلد کی صحت کے لیے اس کے اثرات حیران کن ہیں,بیسن بطور ’اسکن ماسک‘
health,2016-10-29T06:17:44 GMT,https://www.express.pk/story/639762,نئی دواؤں سے علاج کی ابتدائی لاگت 85000 ڈالر فی کس تھی جسے اس منصوبے کے تحت 1000 ڈالر فی کس سے بھی کم کردیا گیا,ہیپاٹائٹس سی کی نئی دواؤں سے تیسری دنیا کے 10 لاکھ لوگ شفایاب
health,2016-10-28T17:49:34 GMT,https://www.express.pk/story/639402, یہ دوا افریقا کے 9 ممالک میں آزمائی گئی جس کے حیرت انگیز نتائج برآمد ہوئے ہیں,ٹی بی کے خاتمے میں ایک اہم پیش رفت
health,2016-10-28T07:11:21 GMT,https://www.express.pk/story/638828,کسی شخص کی فیس بُک پر سرگرمیوں سے اسے درپیش بیماریوں کی تشخیص اور علاج بھی کیا جاسکتا ہے، ماہرین,فیس بُک سے دماغی بیماریوں کی تشخیص اورعلاج
